ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status,Would_Sync_To_Shopify
9781838697068,Canada - Lonely Planet,LONELY PLANET,LONGLO,,44.99,1,active,YES
9781781318072,Classic FM Family Music Box - Hear Iconic Music From The Great Composers,LIHOREAU TIM,WHILIO,,34.99,1,active,YES
9781576871386,Juvenile,RODRIGUEZ JOSEPH,POWERH,,24.99,1,active,YES
9781838699048,Montreal And Quebec City - Lonely Planet Pocket,LONELY PLANET,LONGLO,,24.99,1,active,YES
8057094921768,Van Eyck - 2026 Bookmark Calendar,ALLALUNA,ALLALU,,9.99,1,active,YES
9781861269720,Yorkshire Dales - Landscape and Geology,WALTHAM TONY,CROWOO,,59.99,1,active,YES
9780789327246,1001 Bicycles to Dream of Riding,KESTEVEN GUY,UNIVER,,29.99,0,active,YES
9780349708171,2026 Blue Luxe (Luxe Design) Grande 12-month Vertical Hardcover Flexi Dayplanner 2026 (Elastic Band Closure),PAPERBLANKS,LITBR,,24.99,0,active,YES
9780349707693,"2026 Michelangelo, Handwriting (Embellished Manuscripts Collection) Midi 12-month Vertical Hardcover Flexi Dayplanner 2026 (Wrap Closure)",PAPERBLANKS,LITBR,,17.5,0,active,YES
9780349708010,"2026 Michelangelo, Handwriting (Embellished Manuscripts Collection) Ultra 12-month Horizontal Hardcover Flexi Dayplanner 2026 (Wrap Closure)",PAPERBLANKS,LITBR,,42.99,0,active,YES
9780349708089,2026 Pear Garden (Peking Opera Embroidery) Ultra 12-month Vertical Hardcover Flexi Dayplanner 2026 (Wrap Closure),PAPERBLANKS,LITBR,,21.5,0,active,YES
9780349707891,2026 Spinola Hours (Ancient Illumination) Maxi 12-month Horizontal Hardcover Flexi Dayplanner 2026 (Elastic Band Closure),PAPERBLANKS,LITBR,,36.99,0,active,YES
9781851499083,21st Century Jewellery Designers - An Inspired Style,ROCHEFOUCAULD JULIET WEIR-DE LA,ACCART,,160.0,0,active,YES
9780760334744,365 Motorcycles You Must Ride,GINGERELLI DAIN,MOTORB,,24.99,0,active,YES
9781446303498,9 Classic Quilt Blocks,EDWARDS LYNNE,DAVCHA,,18.99,0,active,YES
9781804660751,Absolutely Everything - Revised And Expanded - A History of Earth Dinosaurs Rulers Robots And Other Things Too Numerous,LLOYD CHRISTOPHER,WALKER,,47.99,0,active,YES
9781838957261,Anna - The Biography,ODELL AMY,ATLANT,,39.99,0,active,YES
9781683693550,Apocalypse - Worst Case Scenario Survival Handbook,PIVEN JOSHUA,QUIRKB,,48.0,0,active,YES
9781447278832,Armour Of Light - 4 Kingsbridge Novels,FOLLETT KEN,MACMIL,,59.99,0,active,YES
9781839641718,Arthurian Myths,JACKSON J,FLATRE,,21.99,0,active,YES
9788417656607,Atlas of Modern Clothing -  From the Trench Coat to the Sweatshirt,MADZHUGINA MARINA,HOAKI,,59.99,0,active,YES
9781529152982,Atmosphere,JENKINS REID TAYLOR,HUTHEI,,38.0,0,active,YES
9781797217505,Avengers - 100 Collectible Comic Book Cover Postcards,MARVEL,CHRONI,,49.99,0,active,YES
9780804846561,Ayurveda - Asian Secrets of Wellness Beauty and Balance,INGLIS KIM,TUTTLE,,29.99,0,active,YES
9781406394788,Babys First Encyclopedia,ARRHENIUS INGELA P.,WALKER,,29.99,0,active,YES
8052783613443,Bear - Erasable Pen,LEGAMI,LEGAMI,,5.5,0,active,YES
9780645069648,Bear and the Little Green Thing,DIANDIAN,SIMON,,32.99,0,active,YES
9781911658252,Before Rocket - The Steam Locomotive Up To 1829,DAWSON ANTHONY,GREASL,,37.99,0,active,YES
9781529193121,Bitter -  Flavour-packed recipes to impress,ANATOLE ALEXINA,SQUPEG,,70.0,0,active,YES
9781774021651,Black Beauty - Paper Mill Classics,SEWELL ANNA,PAPMIL,,24.99,0,active,YES
9781408763278,Black Edition - Grande Lined - Sin Cierre Closure,PAPERBLANKS,LITBR,,49.99,0,active,YES
9781783611300,Book Of Childrens Verse - A Gorgeous Anthology Of Poetry For Children Of All Ages,CHAFER E,FLATRE,,29.99,0,active,YES
9781797228938,Bucket List Journal -  Plan a Lifetime of Adventures and Memories,CHRONICLEBOOKS,CHRONI,,34.99,0,active,YES
9780241957721,Camp David,WALLIAMS DAVID,PENGUI,,30.0,0,active,YES
9781452114323,Card Catalog - 30 Notecards from the Library of Congress,LIBRARY OF CONGRESS,CHRONI,,29.99,0,active,YES
8052694032524,Carpe Diem - Small Daily Diary 2026 - Legami,LEGAMI,LEGAMI,,15.5,0,active,YES
9414740012611,Cat Stickers,,AVAINT,,0.0,0,active,YES
5014631022398,Cheese And Crackers Game,HOUSE OF MARBLES,HOUMAR,,49.99,0,active,YES
9781991103086,Chevalier And Gawayn,MANN PHILLIP,QUEWIL,,37.99,0,active,YES
9417601402125,Christmas Cards - Barnardos Charity - 12 Pack,WILLIAMS SUE,OXTED,,24.99,0,active,YES
9417601402132,Christmas Cards - Womens Refuge Charity - 12 Pack,WILLIAMS SUE,OXTED,,24.99,0,active,YES
9417601402064,Christmas Cards - Womens Refuge Charity - 12 Pack,WILLIAMS SUE,OXTED,,24.99,0,active,YES
9414740986370,Christmas Gift Tag Stickers - 160 Pieces,,TJWH,,3.5,0,active,YES
9781784877835,Classic Ghost Stories,VARIOUS,VINCLA,,26.0,0,active,YES
9781788791472,Coastal Blues -  Home Decorating Ideas Inspired by Seaside Living,HAYDEN SALLY,RYLAND,,44.99,0,active,YES
9780008210717,Collins New Zealand School Dictionary and Thesaurus,COLLINS,COLLIN,,26.99,0,active,YES
9780645724059,Commander Carrot,BAKER LISA,COTABL,,20.0,0,active,YES
9414740981146,Cool Stickers,,LEATOO,,2.5,0,active,YES
9781635575934,Core Of An Onion - Peeling the Rarest Common Food,KURLANSKY MARK,BLOOMS,,37.99,0,active,YES
9781838573751,Cranford,GASKELL ELIZABETH,ARCTUR,,14.99,0,active,YES
9781797220055,Dad Law - The Definitive Reference for All Things Dad,PROBST ALLY,CHRONI,,37.99,0,active,YES
9780500480717,Dante Gabriel Rossetti - Portraits of Women,MANCOFF DEBRA,THAMES,,35.0,0,active,YES
9781761346347,Deadly Dispute - 3 A Tea Ladies Mystery,HAMPSON AMANDA,PENAUS,,38.0,0,active,YES
8052694031800,Deep Graphite - Medium Daily Legami Diary 2026,LEGAMI,LEGAMI,,22.5,0,active,YES
9781776951291,Different Kind Of Power,ARDERN JACINDA,PENGNZ,,40.0,0,active,YES
9780908319541,Discover New Zealand - 2026 Diary,HYNDMAN STATIONARY,HYNDMA,,9.99,0,active,YES
9781797233604,Disney A Year of Animation 2026 Daily Calendar,DISNEY,CHRONI,,39.99,0,active,YES
9414740005569,Dog - Puffy Stickers,,AVAINT,,2.5,0,active,YES
9414740997949,Dog Stickers,,AVAINT,,2.5,0,active,YES
9780994450807,Dont - How using the right words will change your life,SELDEN BOB,LIONCR,,35.0,0,active,YES
9781626920040,Dragonar Academy Vol. 1,MIZUCHI SHIKI,SEVENS,,17.99,0,active,YES
9781626920163,Dragonar Academy Vol. 2,MIZUCH  SHIKI,SEVSEA,,17.99,0,active,YES
9798879542851,Dream Sisters,PICKERING JUSTINE,PRIPUB,,29.99,0,active,YES
9414740988398,Easter Bunny Stickers,,TJWH,,2.99,0,active,YES
9414740988435,Easter Bunny Stickers,,TJWH,,2.5,0,active,YES
9414740988442,Easter Chick Stickers,,TJWH,,2.5,0,active,YES
9780473757700,Eat Your Hormones,WILLIAMSON RENNIE,PRIPUB,,75.0,0,active,YES
9781787636729,Embrace the Chaos - 52 Tactics to Make Every Day Count,FOX JASON,BANTAM,,49.99,0,active,YES
9781839947919,Emergency - Make Tracks,,NOSCRO,,18.99,0,active,YES
9781250871633,Empire of Ice and Stone - The Disastrous and Heroic Voyage of the Karluk,LEVY BUDDY,GRIPRE,,39.99,0,active,YES
9780747599043,Epitaph of a Small Winner,ASSIS MACHADO DE,BLOOMS,,29.99,0,active,YES
9781788796149,Everyday Antiques  -  Inviting Homes Where Old Meets New,SORRELL KATHERINE,RYLAND,,84.99,0,active,YES
9781913097684,Exteriors,ERNAUX ANNIE,FITZCA,,27.99,0,active,YES
9781853261008,Fairy Tales,ANDERSEN HANS CHRISTIAN,WORDSW,,9.99,0,active,YES
9781788280532,Far From The Madding Crowd - Arcturus Classics,HARDY THOMAS,ARCTUR,,12.99,0,active,YES
9780753559574,Femina - A New History Of The Middle Ages Through The Women Written Out Of It,RAMIREZ JANINA,WHALLE,,40.0,0,active,YES
9781841813431,Feng Shui Life Coach,BROWN SIMON G,GODSFI,,29.99,0,active,YES
9781398518568,Field of Dreams - 100 Years of Wembley in 100 Matches,TASSELL NIGE,SIMON&,,29.99,0,active,YES
9780473601942,Final Call,SHIEFF JEN,MAREGA,,30.0,0,active,YES
9781840226614,Finnegans Wake - Wordsworth Classics,JOYCE JAMES,WORDSW,,13.99,0,active,YES
9781612120041,Five Plant Gardens,ONDRA NANCY J,STOPUB,,14.99,0,active,YES
