CSTATUS,ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status
ASC,9780993389269,Naturalistic Planting Design - The Essential Guide,DUNNETT NIGEL,FILBER,,99.99,0,active
ASC,9780734418999,Nevermoor - 1 Nevermoor The Trials For Morrigan Crow,TOWNSEND JESSICA,LOTCHI,,29.99,0,active
ASC,9781784872618,Depression - Vintage Mini,STYRON WILLIAM,VINTAG,,9.99,0,not in WEBLIST
ASC,9781784872656,Eating - Vintage Mini,LAWSON NIGELLA,VINTAG,,9.99,0,not in WEBLIST
ASC,9780473507848,Errols Asteroid,MANDERSON ERROL,PRIPUB,,39.99,0,not in WEBLIST
ASC,9780606231381,Last Sacrifice - Vampire Academy 6,MEAD RICHELLE,LIONCR,,0.0,0,not in WEBLIST
ASC,9781877140822,Maori Pedagogies - A View From The Literature,HEMARA WHAREHUIA,NZCER,,23.0,0,not in WEBLIST
ASC,9781784872731,Motherhood - Vintage Mini,SIMPSON HELEN,VINTAG,,9.99,0,not in WEBLIST
ASC,NHOTAHI,Noho Tahi |  | ????,NOHO TAHI COLLECTIVE,5EVERB,,0.0,0,not in WEBLIST
ASC,9780473766061,Parrot Heaven,HOWLAND KANY JESSICA,QUEWIL,,38.0,0,not in WEBLIST
ASC,9780646997407,Road To Redemption - A Championship Journey,MCLAUGHLIN SCOTT,PRIPUB,,72.99,0,not in WEBLIST
ASC,9780992475512,Self Healing By Design - Role Of Micro Organisms For Health,ONEILL BARBARA,PRIPUB,,0.0,0,not in WEBLIST
ASC,9780473613341,Tiger Moths To Top Dressing DC3s,WORSLEY NEVILLE,PRIPUB,,0.0,0,not in WEBLIST
ASC,9780473397081,What Am I Supposed To Eat - Making Sense Of Food Confusion,WEAVER LIBBY,DLO,,39.99,0,not in WEBLIST
CHP,9781571109743,Daily Five - Fostering Literacy Independence In The Elementary Grades,BOUSHEY GAIL / MOSER JOAN,STENHO,,79.99,0,not in WEBLIST
CHP,9780582543287,Te Kakano - Te Whanake 1,MOORFIELD JOHN C,PEARSO,,130.0,0,not in WEBLIST
CHP,9780582545458,Te Kakano - Te Whanake 1 Study Guide,MOORFIELD JOHN,LONGMA,,45.0,0,not in WEBLIST
CHP,9780582545793,Te Mahuri - Study Guide,MOORFIELD JOHN,LONGMA,,32.0,0,not in WEBLIST
CHP,9780582545786,Te Mahuri - Te Whanake 3,MOORFIELD JOHN,PEARSO,,99.0,0,not in WEBLIST
INT,9781684544950,Bridgets Healthy Kitchen - ONLY AVAILABLE FROM HER WEBSITE,DAVIS BRIDGET,******,,0.0,0,not in WEBLIST
INT,9780993139505,Road to Monaco - My Life in Motor Racing,GANLEY HOWDEN,DENPUB,,99.95,0,not in WEBLIST
NLA,9781607107316,Count Of Monte Cristo,DUMAS ALEXANDRE,CANCLA,,26.99,0,active
NLA,CRAYON,Creamy Crayons,,ALEX,,0.0,0,not in WEBLIST
NLA,9798360434740,Lost Book Of Herbal Remedies,SUNGA RANB,INDEPE,,0.0,0,not in WEBLIST
NLA,9781775536000,Loves Me Not - How To Keep Relationships Safe,ELLIOTT LESLEY / OBRIEN WJ,RANDNZ,,24.99,0,not in WEBLIST
NLA,9781568988900,Obsessive Consumption - What Did You Buy Today,BINGAMAN-BURT KATE,PRIARC,,17.99,0,not in WEBLIST
NLA,9780763642662,Odyssey,HINDS GARETH,CANPRE,,0.0,0,not in WEBLIST
NLA,9780995115811,Physics Level 2 Revision Guide - NCEA Level 2 2019,STUDY PASS,STUPAS,,19.99,0,not in WEBLIST
NLA,9781782437796,Road Racer - Its In My Blood,DUNLOP MICHAEL,MICOMA,,41.99,0,not in WEBLIST
NLA,9781849900737,Russia - A 1000 Year Chronicle Of The Wild East,SIXSMITH MARTIN,BBC,,30.0,0,not in WEBLIST
NLA,9780241982884,Secret History - 25th Anniversary Edition,TARTT DONNA,PENGUI,,26.0,0,not in WEBLIST
NLA,9780141365497,Twits,DAHL ROALD,PUFFIN,,21.0,0,not in WEBLIST
NLA,824284900456,Yikerz,YIKERS,YIKERS,,39.9,0,not in WEBLIST
NLD,9780648555766,Fairy Tales Treasury,BARBER SHIRLEY,BROLLY,,29.99,0,active
NLD,9781925956108,Dawn Of The Zombie Apocalypse,MURRAY LEE,IFWGP,,0.0,0,not in WEBLIST
NLD,9781925386004,Enchanted Woods,BARBER SHIRLEY,BORADA,,19.0,0,not in WEBLIST
NLD,9781338670899,Four Me - 4 Catwad,BENTON JIM,SCHUSA,,16.99,0,not in WEBLIST
NLD,9781338326031,Its Me - 2 Catwad,BENTON JIM,SCHUSA,,16.99,0,not in WEBLIST
NLD,9780987306876,Little Fairy and the Diamond Necklace,BARBER SHIRLEY,BROLLY,,12.0,0,not in WEBLIST
NLD,9781922385017,Thank You for Feeding Freckle,,BLUDUC,,19.99,0,not in WEBLIST
NLD,9781338770230,Youre Making Me Six - 6 Catwad,BENTON JIM,SCHUSA,,16.99,0,not in WEBLIST
NOR,9781786697295,Ice,DUKAJ JACEK,HEADOF,,0.0,0,active
NOR,9781911648529,Pearl,HUGHES SIAN,INDIGO,,32.99,0,active
NOR,9781911255345,75 NZ Squadron,WARD CHRIS,PRIPUB,,0.0,0,not in WEBLIST
NOR,9780987450753,Bug Called Doug,COLLIN CHRIS,HERRON,,0.0,0,not in WEBLIST
NOR,9781925849677,Fascists Among Us - Online Hate And The Christchurch Massacre - CANNOT ORDER,SPARROW JEFF,SCRIBE,,24.99,0,not in WEBLIST
NOR,9780593069233,"Going Clear - Scientology, Hollywood and the Prison of Belief",WRIGHT LAWRENCE,BANTAM,,39.99,0,not in WEBLIST
NOR,9780994587008,Mac The Dog Man,VERCOE ELIZABETH,******,,0.0,0,not in WEBLIST
NOR,9780734306876,Madame Bovary - Pink Popular Penguin,FLAUBERT GUSTAVE,PENGUI,,13.99,0,not in WEBLIST
NOR,9781602204614,Magical Silkworm - A Story About A Birthday Gift Told In English And Chinese,XIN LIN,SHAPRE,,24.99,0,not in WEBLIST
NOR,9781607740285,Omnivores Recipe Keeper,SACK CELIA,TENSPE,,0.0,0,not in WEBLIST
NOR,9780316040938,On Killing,GROSSMAN DAVE,BACKBA,,49.99,0,not in WEBLIST
NOR,9781742990330,One Rule For Jack,MORGAN SALLY,OMNCHI,,0.0,0,not in WEBLIST
NOR,9780734306760,Perfume - Pink Popular Penguin,SUSKIND PATRICK,PENGUI,,13.99,0,not in WEBLIST
NOR,9780648786368,Perkins Engineering - The Cars,NOONAN AARON,WOODSL,,0.0,0,not in WEBLIST
NOR,9781787704732,Pet - Europa Edition,CHIDGEY CATHERINE,EUREDI,,36.99,0,not in WEBLIST
NOR,9780571348893,Then It Fell Apart,MOBY,FABER&,,0.0,0,not in WEBLIST
NOR,9781903842133,Total Teaching - Raising The Achievement Of Vulnerable Groups,,MISCEL,,0.0,0,not in WEBLIST
NOR,9781742571973,Walk In Old Sydney,TATLOW MICHAEL,NEWHOL,,0.0,0,not in WEBLIST
NOR,9781781160435,WildC.A.T.S. Volume 1 Deluxe Edition,CHOI BRANDON,TITAN,,0.0,0,not in WEBLIST
NOT,978LEESSCREE2,Less Sreen More Life,CATT ALEX BARTLEY,MISCEL,,0.0,0,not in WEBLIST
NOT,9781486001569,Te Poi Koiora,JOSEPH DARRYN,MISCEL,,0.0,0,not in WEBLIST
OLD,9781405927345,Because of You,FRENCH DAWN,PENGUI,,37.0,0,not in WEBLIST
OLD,9781786078377,Fatal Thing Happened On The Way To The Forum - Murder In Ancient Rome,SOUTHON EMMA,ONEWOR,,36.99,0,not in WEBLIST
OLD,9780735224414,Last Kings of Shanghai - 2 - The Rival Jewish Dynasties That Helped Create Modern China,KAUFMAN JONATHAN,VIKING,,65.0,0,not in WEBLIST
OLD,9780751579949,Troubled Blood - 5 Comoran Strike,GALBRAITH ROBERT,SPHERE,,34.99,0,not in WEBLIST
ORD,9780994101655,Ancient Road Rediscovered - What the Early Church knew,JORDAN M JAMES,PRIPUB,,0.0,0,not in WEBLIST
ORD,9780473244262,Animal Welfare in New Zealand,STAFFORD KEVIN J,NZSANI,,0.0,0,not in WEBLIST
ORD,BECOMING,Becoming Airminded,,******,,0.0,0,not in WEBLIST
ORD,9798283531830,Dry Flies And Wet Socks - Fishing for wild brown trout in Scotland and New Zealand,COUPLAND ROBIN,MISCEL,,0.0,0,not in WEBLIST
ORD,9780473516871,Flying Farmer,GALLOWAY BRUCE,WILDSI,,0.0,0,not in WEBLIST
ORD,GLOBWAR,Global Warming,DUNCAN KELVIN,TROSS,,0.0,0,not in WEBLIST
ORD,9780992282875,Kiwi Cricketers Along The Nile,FRANKS ROB,MISCEL,,0.0,0,not in WEBLIST
ORD,9780648982296,Lloyd Geering - Prophet or Heretic,VEITCH JIM,******,,0.0,0,not in WEBLIST
ORD,9780473515249,One Sun in the Sky -  the untold story of sovereignty and the Treaty of Waitangi,MCQUEEN EWEN,******,,40.0,0,not in WEBLIST
OSI,9781250829665,Blizzard Party,LIVINGS JACK,STMART,,34.99,0,active
OSI,9781474624237,Cinema Speculation,TARANTINO QUENTIN,WEIDEN,,39.99,0,active
OSI,9780983986072,Friendly Floppy Ragdoll Cat - Abridged Edition,MAXWELL KIMBERLY H,PUBLIK,,100.0,0,active
OSI,9780439739337,Kristys Great Idea - 1 Babysitters Club Graphix,MARTIN ANN M,SCHUSA,,16.5,0,active
OSI,9780847863174,Nina Campbell Interior Decoration - Carefree Elegance,KIME GILES,RIZZOL,,69.99,0,active
OSI,9781608633104,3000 What If Questions,PICCADILLY,PICCAD,,24.99,0,not in WEBLIST
OSI,602394031501,50 Something Magnetic Poetry,,MAGNET,,29.9,0,not in WEBLIST
OSI,9781620091340,500 Writing Prompts,PICCADILLY,PICCAD,,24.99,0,not in WEBLIST
OSI,602394030177,ABC 123 - Magnetic Poetry,,MAGNET,,39.99,0,not in WEBLIST
OSI,9780192756268,After Tomorrow,CROSS GILLIAN,OXFORD,,19.99,0,not in WEBLIST
OSI,9780007492190,Alchemist,COELHO PAULO,HARPSF,,30.0,0,not in WEBLIST
OSI,9780099593140,All Girl Filling Stations Last Reunion,FLAGG FANNIE,VINTAG,,26.99,0,not in WEBLIST
OSI,9781472261397,American Dirt,CUMMINS JEANINE,TINDER,,39.99,0,not in WEBLIST
OSI,9781452173313,American Sfoglino,FUNKE EVAN,CHRONI,,69.99,0,not in WEBLIST
OSI,9781869536374,Art Icons Of New Zealand,STEAD OLIVER,BATEMA,,50.0,0,not in WEBLIST
OSI,602394031679,Beach Magnetic Poetry,,MAGNET,,28.5,0,not in WEBLIST
OSI,9780847848089,Beachside Bohemian - Easy Living By The Sea,NOVOGRATZ ROBERT,RIZZOL,,49.99,0,not in WEBLIST
OSI,9780141346144,Beautiful Creatures - 1 Caster Chronicles Film Tie In Edition,GARCIA KAMI / STOHL MARGARET,PENGUI,,23.0,0,not in WEBLIST
OSI,602394030047,Big Print - Magnetic Poetry Large,MAGNETIC POETRY,MAGNET,,39.99,0,not in WEBLIST
OSI,602394031723,Bike Lover - Magnetic Poetry,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,9781922147707,Bird,CHAN CRYSTAL,TEXT,,21.0,0,not in WEBLIST
OSI,602394031235,Bitch Magnetic Poetry,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,9781407235059,Black and Blue,RANKIN IAN,ORION,,14.99,0,not in WEBLIST
OSI,9781250124913,Black Moon - A Novel Of Cornwall 1794-1795,GRAHAM WINSTON,POIBLA,,14.99,0,not in WEBLIST
OSI,9781933682730,Body Double Magifico Magnets,MAGNETIC POETRY,MAGNET,,11.9,0,not in WEBLIST
OSI,9781772753271,Cars Comics Treasury,DISNEY,DISNEY,,14.99,0,not in WEBLIST
OSI,9780393319552,"Chair - Rethinking Culture, Body, and Design",CRANZ GALEN,NORTON,,33.99,0,not in WEBLIST
OSI,9781614286790,Chateau Life - Cuisine And Style In The French Countryside,WEBSTER JANE,ASSOUL,,135.0,0,not in WEBLIST
OSI,9781933682259,Coffee - Magnet,MAGNETIC POETRY,MAGNET,,9.2,0,not in WEBLIST
OSI,9781869537197,Contemporary New Zealand Art 5,CAUGHEY ELIZABETH,BATEMA,,50.0,0,not in WEBLIST
OSI,9780864739735,Dear Neil Roberts,BEAUTRAIS AIRINI,VUP,,25.0,0,not in WEBLIST
OSI,8904186903839,Diamond Geometric Paperback Journal Pack,,DESWAL,,17.99,0,not in WEBLIST
OSI,9781926516004,Disney Frozen Cinestory - Vol 01,DISNEY STORYBOOK ARTISTS,DISNEY,,12.99,0,not in WEBLIST
