ISBN,Record #,Title,Author,Price (NZD),Stock,Binding,Script Will Keep?
9780473760724,1,Breaking Boundaries - Women of my Heritage,Cambridge Susan,38.5,(none),TP,YES — keep this one
9780473760724,2,Breaking Boundaries Women of my Heritage,"Cambridge, Susan",38.5,(none),PB,DELETE in Bookscan

9780733652097,1,Murder on North Terrace - 2 Petticoat Police Mystery,Anderson Lainie,37.99,0,TP,YES — keep this one
9780733652097,2,Murder on North Terrace: A Petticoat Police Mystery: Book 2,"Anderson, Lainie",37.99,(none),PB,DELETE in Bookscan

9781035912483,1,Hitler Years - Holocaust 1933-1945,Mcdonough Frank,74.99,(none),HB,YES — keep this one
9781035912483,2,The Hitler Years: Holocaust 1933-1945,"Mcdonough, Frank",74.99,(none),HB,DELETE in Bookscan

9781394368785,1,100 Questions And Answers About Anxiety For Dummies,Smith Laura L,28.99,1,PB,YES — keep this one
9781394368785,2,100 Questions & Answers About Anxiety For Dummies,"Smith, Laura L. (Presbyterian Medical Group)",28.99,(none),PB,DELETE in Bookscan

9781398861145,1,Art of Rhetoric - Gilded Pocket Edition,Aristotle,0.0,(none),HB,YES — keep this one
9781398861145,2,The Art of Rhetoric: Gilded Pocket Edition,Aristotle,(none),(none),HB,DELETE in Bookscan

9781398863484,1,Boba Tea Crosswords,Arcturus Publishing Limited,0.0,(none),PB,YES — keep this one
9781398863484,2,Boba Tea Crosswords,Arcturus Publishing Limited,(none),(none),PB,DELETE in Bookscan

9781405958806,1,Perfumers Secret,Schneider Fiona,28.0,(none),PB,YES — keep this one
9781405958806,2,The Perfumer's Secret,"Schneider, Fiona",28.0,(none),PB,DELETE in Bookscan
9781405958806,3,The Perfumer's Secret,"Schneider, Fiona",28.0,(none),PB,DELETE in Bookscan

9781439797167,1,Monet's Chrysanthemums Mini Lined Hardback Journal (Elastic Band Closure),Paperblanks,26.99,1,HB,YES — keep this one
9781439797167,2,Monet's Chrysanthemums Mini Lined Hardback Journal (Elastic Band Closure),Paperblanks,26.95,(none),HB,DELETE in Bookscan

9781473218277,1,Empire of Silence - 1 Sun Eater,Ruocchio Christopher,27.99,(none),PB,YES — keep this one
9781473218277,2,Empire of Silence: The universe-spanning science fiction epic,"Ruocchio, Christopher",27.99,(none),PB,DELETE in Bookscan

9781761633324,1,Water Takes,Walker Sarah,39.99,(none),TP,YES — keep this one
9781761633324,2,The Water Takes,"Walker, Sarah",39.99,(none),PB,DELETE in Bookscan

9781797238364,1,Pendleton Harding Pattern Journal,Pendleton Woolen Mills,39.99,(none),HB,YES — keep this one
9781797238364,2,Pendleton Harding Pattern Journal,Pendleton Woolen Mills,39.99,(none),,DELETE in Bookscan

9781835627624,1,William Kilburn - Marble End Paper Blank Sketch Book,Flame Tree Studio,39.99,(none),HB,YES — keep this one
9781835627624,2,William Kilburn: Marble End Paper (Blank Sketch Book),Flame Tree Studio,39.99,(none),,DELETE in Bookscan

9781836041245,1,Can you Spot - Dinosaurs,Usborne,14.99,2,TP,YES — keep this one
9781836041245,2,Can you Spot? Dinosaurs,"Robson, Kirsteen",14.99,(none),PB,DELETE in Bookscan
9781836041245,3,Can you Spot? Dinosaurs,"Robson, Kirsteen",14.99,(none),PB,DELETE in Bookscan

