ISBN,Title,Author,CSTATUS,Availability_per_BookData,Original_Batch
9781495053399,10 Minute Plays For Kids,HARBISON LAWRENCE,ACT,No longer supplied by the supplier,batch_aa
9780063214194,10 Rules For Resilience - Mental Toughness for Families,DE SENA JOE,ACT,Not available (reason unspecified),batch_aa
9781800920088,10 Step Watercolour - Birds - Paint 25 Exquisitely Detailed Birds In 10 Easy Steps,LONGHURST ELEANOR,ACT,Not available (reason unspecified),batch_aa
9781849944519,100 Books That Changed The World,CHRISTIANSON SCOTT,ACT,Not available (reason unspecified),batch_aa
9781474996129,100 Children's Crosswords - Planet Earth,CLARKE PHILLIP,ACT,Not available (reason unspecified),batch_aa
9781440314995,100 Fresh And Fun Handmade Cards - 50 New Designs 50 Amazing Alternatives,MCGRAY KIMBER,ACT,Not available (reason unspecified),batch_aa
9780994146052,100 Natural History Treasures of Te Papa - 100 Amazing Objects from the Te Papa Natural History Collection,TE PAPA,ACT,"Not available, publisher indicates OP",batch_aa
9780241412800,1000 Inventions And Discoveries,"BRIDGMAN, ROGER",ACT,Not available (reason unspecified),batch_aa
9781633221437,1000 Tangles Patterns And Doodled Designs,WALTER FOSTER,ACT,"Not available, publisher indicates OP",batch_aa
9781839811098,1001 Cycling Tips,REYNOLDS HANNAH,ACT,No longer supplied by the supplier,batch_aa
9781760554187,104 Storey Treehouse,GRIFFITHS ANDY,ACT,"Not available, publisher indicates OP",batch_aa
9781787332478,12 Bytes - How We Got Here Where We Might Go Next,WINTERSON JEANETTE,ACT,Not available (reason unspecified),batch_aa
9781988538587,123 With New Zealand Rugby,LAING JUSTIN,ACT,Not available (reason unspecified),batch_aa
9780760366783,1970 Maximum Muscle - The Pinnacle of Muscle Car Power,FLETCHER MARK,ACT,Not available (reason unspecified),batch_aa
9781423623342,200 Casseroles,ASHCRAFT STEPHANIE,ACT,No longer supplied by the supplier,batch_aa
9781529136784,24th Hour -  Women's Murder Club,PATTERSON JAMES,ACT,Not available (reason unspecified),batch_aa
9781558323834,25 Things Every Nursing Mother Needs To Know,HUGGINS KATHLEEN,ACT,"Not available, publisher indicates OP",batch_aa
9781776890095,4 Yaks And A Yeti,HILLARY PETER,ACT,Not available (reason unspecified),batch_aa
9780994289926,5 Seconds,KOK STEPHEN,ACT,Not available (reason unspecified),batch_aa
9781858756097,50 Greatest James Bond Cars,HUGO SIMON,ACT,Not available (reason unspecified),batch_aa
9780995102941,50 Years Young -  A History Of The Young Farmer Of The Year,TAYLOR KATE,ACT,"Not available, publisher indicates OP",batch_aa
9781592539932,500 Tangled Artworks - A Showcase Of Inspired Illustrated Designs,KRAHULA BECKAH,ACT,"Not available, publisher indicates OP",batch_aa
9780995117013,51 Lessons From The Sky,MCKENZIE FLETCHER,ACT,No longer supplied by the supplier,batch_aa
9781743537411,65 Storey Treehouse,GRIFFITHS ANDY / DENTON TERRY,ACT,Not available (reason unspecified),batch_aa
9780141022758,9th and 13th - Penguin 70,COE JONATHAN,ACT,Not available (reason unspecified),batch_aa
9781922786272,A-Z of Animal Symbolism -  Your complete guide to over 150 animal symbols,PRAMIL AURORE,ACT,Not available (reason unspecified),batch_aa
9780241473931,Absolute Book,KNOX ELIZABETH,ACT,Not available (reason unspecified),batch_aa
9780008365004,Abyss - Cuban Missile Crisis 1962,HASTINGS MAX,ACT,Not available (reason unspecified),batch_aa
9781038919946,Act of Disappearing,GOWER NATHAN,ACT,Not available (reason unspecified),batch_aa
9781925143188,Adam Spencers Time Machine,SPENCER ADAM,ACT,No longer supplied by the supplier,batch_aa
9780241701454,Addicted to Anxiety,O'KANE OWEN,ACT,Not available (reason unspecified),batch_aa
9780399178740,ADHD 2.0 - New Science And Essential Strategies For Thriving With Distraction From Childhood Through Adulthood,HALLOWELL EDWARD M,ACT,Not available (reason unspecified),batch_aa
9781784873615,Adventures In The Anthropocene - A Journey To The Heart Of The Planet We Made - Patterns Of Life,VINCE GAIA,ACT,Not available (reason unspecified),batch_aa
9780141345246,Aesops Fables - Puffin Classics,,ACT,Not available (reason unspecified),batch_aa
9781667201368,Aesops Fables Illustrated,AESOP,ACT,Not available (reason unspecified),batch_aa
9781787302969,Africa Is Not A Country - Breaking Stereotypes of Modern Africa,FALOYIN DIPO,ACT,Not available (reason unspecified),batch_aa
9780753560136,African History Of Africa - From The Dawn Of Humanity To Independence,BADAWI ZEINAB,ACT,Not available (reason unspecified),batch_aa
9780241259696,Age Of Reason,SARTRE JEAN-PAUL,ACT,Not available (reason unspecified),batch_aa
