BookScan Main Category,BookScan Sub Category,Shopify Collection Name,Product Count,Has Standalone Collection,In Umbrella,Source,Industry Alignment,Handle,Status,Notes
Fiction,,Fiction,11122,Yes,—,BookScan,Aligned — top-level everywhere,fiction,Done,Umbrella updated — added Romance/Horror/Manga/Thriller/Translated Fiction tags (Batch 1)
Fiction,Classics,Classics,1843,Yes,Fiction,BookScan,Aligned,fiction-classics,Done,Handle renamed (Batch 6)
Fiction,General Fiction,General Fiction,2519,Yes,Fiction,BookScan,Aligned,fiction-general,Done,Handle renamed (Batch 6)
Fiction,Crime Fiction,Crime & Thriller,1576,Yes,Fiction,BookScan,Aligned — Thriller standalone removed (was duplicate),fiction-crime-and-thriller,Done,Thriller collection deleted (Batch 2). Handle renamed (Batch 6)
Fiction,Historical Fiction,Historical Fiction,737,Yes,Fiction,BookScan,Aligned,fiction-historical,Done,Handle renamed (Batch 6)
Fiction,Science Fiction and Fantasy,Science Fiction & Fantasy,1338,Yes,Fiction,BookScan,Aligned,fiction-sci-fi-and-fantasy,Done,Handle renamed (Batch 6)
Fiction,Graphic Novels,Graphic Novels,1125,Yes,Fiction,BookScan,Aligned — Thema has top-level (X) for this,fiction-graphic-novels,Done,Handle renamed (Batch 6)
Fiction,Poetry,Poetry,728,Yes,Fiction,BookScan,Aligned — BISAC has standalone,fiction-poetry,Done,Handle renamed (Batch 6)
Fiction,NZ Fiction,NZ Fiction,620,Yes,Fiction + NZ,BookScan,NZ-specific — good differentiator,fiction-nz,Done,Handle renamed (Batch 6)
Fiction,Teen Fiction,Young Adult,890,Yes,Fiction,BookScan,Aligned — BISAC separates YA Fiction/Non-Fiction,fiction-young-adult,Done,Handle renamed (Batch 6)
Fiction,Plays,Plays,42,Yes,Fiction,BookScan,Aligned — often grouped with Poetry/Drama,fiction-plays,Done,Handle renamed (Batch 6)
Fiction,(enrichment) Romance,Romance,270,Yes,Fiction,Enrichment,Aligned — now in Fiction umbrella,fiction-romance,Done,Added to Fiction umbrella (Batch 1). Handle renamed (Batch 6)
Fiction,(enrichment) Horror,Horror,123,Yes,Fiction,Enrichment,Aligned — now in Fiction umbrella,fiction-horror,Done,Added to Fiction umbrella (Batch 1). Handle renamed (Batch 6)
