isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9780141197494,Divine Comedy - Inferno Purgatorio Paradiso,Fiction,Classics,DCF,Poetry,ADD_SECONDARY,Poetry
9781982157463,Make Russia Great Again -  A Novel,Fiction,General Fiction,FHP,Thriller,RECLASSIFY,Thriller
9781849945257,Art Of Pressed Flowers And Leaves - Contemporary Techniques And Designs,,,WFW,Craft,RECLASSIFY,Craft
9781529014969,Butterfly Room,Fiction,Historical Fiction,FRH,Romance,ADD_SECONDARY,Romance
9780571362707,Snow,Fiction,General Fiction,FF,Crime Fiction,RECLASSIFY,Crime Fiction
9780473523671,Kiwi Runners Family Tree - Volume One - 1800s To 1999,Sport,General Sport And Fitness,BGS,Biography,ADD_SECONDARY,Biography
9780143795452,Champagne War,Fiction,Historical Fiction,FRH,Romance,ADD_SECONDARY,Romance
9780241996782,"AZADI - Fascism, Fiction and Freedom in the Time of the Virus",History And Politics,History,JPV,Politics,ADD_SECONDARY,Politics
9781509851300,Nothing Ventured - 1 William Warwick,Fiction,Historical Fiction,FFH,Crime Fiction,ADD_SECONDARY,Crime Fiction
9781760760816,Flower Expert - Ideas and inspiration for a life with flowers,,,WFW,Craft,RECLASSIFY,Craft
9780198614494,Little Oxford Thesaurus,Reference,General,CBF,Languages,RECLASSIFY,Languages
9780141984667,Government of No One - The Theory and Practice of Anarchism,History And Politics,History,JPFB,Politics,ADD_SECONDARY,Politics
9781911547600,Dry Heart,Fiction,General Fiction,FYT,Translated Fiction,RECLASSIFY,Translated Fiction
9781786496669,Fifty Years On -  The Troubles and the Struggle for Change in Northern Ireland,History And Politics,History,BM,Biography,ADD_SECONDARY,Biography
9782330120375,Nicole de Vesian - Gardens - Modern Design in Provence,,,AMV,Architecture,RECLASSIFY,Architecture
9780199534821,Pocket Oxford Thesaurus,Reference,Thesaurus,CBF,Languages,ADD_SECONDARY,Languages
9780199607914,Colour Oxford English Dictionary,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9780198614494,Little Oxford Thesaurus,Reference,Thesaurus,CBF,Languages,ADD_SECONDARY,Languages
9780199601080,Concise Oxford English Dictionary,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9780199571123,Oxford Dictionary of English,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9781760642228,Australia And New Zealand - Quarterly Essay 80,History And Politics,History,JPB,Politics,ADD_SECONDARY,Politics
9780099580881,Officer And A Spy,Fiction,Crime Fiction,FV,Historical Fiction,ADD_SECONDARY,Historical Fiction
9781922400277,Dictionary Of Lost Words,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9781529349795,Dolly Parton - Songteller My Life in Lyrics,The Arts,Music And Performing Arts,BGFA,Biography,ADD_SECONDARY,Biography
9781780724829,Wake Up Call - Why The Pandemic Has Exposed The Weakness Of The West And How To Fix It,History And Politics,History,JP,Politics,ADD_SECONDARY,Politics
9780199640942,Paperback Oxford English Dictionary,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9781853267871,Inferno,Fiction,Classics,DCF,Poetry,ADD_SECONDARY,Poetry
9780198705185,Oxford Dictionary of Synonyms and Antonyms,Reference,Dictionaries,CBF,Languages,ADD_SECONDARY,Languages
9780747568766,Just Kids,The Arts,Music And Performing Arts,BGFA,Biography,ADD_SECONDARY,Biography
9781501103766,This Was Not the Plan,Fiction,General Fiction,FR,Romance,RECLASSIFY,Romance
9780857503626,Past Tense - 23 Jack Reacher,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780857503619,Midnight Line - 22 Jack Reacher,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781474618267,My Life In Red And White,Sport,General Sport And Fitness,BGSA,Biography,ADD_SECONDARY,Biography
9780241502204,Breathless,Fiction,General Fiction,YFM,"Childrens Fiction, Romance",RECLASSIFY,"Childrens Fiction, Romance"
9780008409333,Times Great Quotations - Famous Quotes To Inform Motivate And Inspire,Reference,General,CB,Languages,RECLASSIFY,Languages
9780099549482,To Kill A Mockingbird - 50th Anniversary Edition,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9780199230884,Oxford Dictionary and Thesaurus,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9780199534814,Little Oxford Dictionary and Thesaurus,Reference,Thesaurus,CBD,Languages,ADD_SECONDARY,Languages
9780199534814,Little Oxford Dictionary and Thesaurus,Reference,Dictionaries,CBD,Languages,ADD_SECONDARY,Languages
9780141395432,Burmese Days,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9780063011953,News Of The World - Film Tie In,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9781529014969,Butterfly Room,Fiction,General Fiction,FRH,Romance,RECLASSIFY,Romance
9781849944519,100 Books That Changed The World,Reference,General,HBG,History,RECLASSIFY,History
9781797205465,Working From Home With A Cat,Fiction,General Fiction,WH,Humour,RECLASSIFY,Humour
9781035034246,Fall Of Giants - 1 The Century Trilogy,Fiction,Crime Fiction,FV,Historical Fiction,ADD_SECONDARY,Historical Fiction
9781785781414,Fucking Apostrophes,Reference,General,CBG,Languages,RECLASSIFY,Languages
9781509523412,Should We Control World Population?,History And Politics,History,JPA,Politics,ADD_SECONDARY,Politics
9781783965298,Secret Life of Books - Why They Mean More Than Words,Reference,General,DSB,Classics,RECLASSIFY,Classics
9781782275862,At Night All Blood is Black,Fiction,General Fiction,FYT,Translated Fiction,RECLASSIFY,Translated Fiction
9781988592510,Bus Stops On The Moon,The Arts,Music And Performing Arts,BM,Biography,ADD_SECONDARY,Biography
9781460753569,Border,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781408871775,Lincoln In The Bardo,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9781782276036,Kasebier Takes Berlin,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9780241416419,Nineteen Eighty Four,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9780140448061,Pillow Book - Penguin Black Classics,Fiction,Classics,DCF,Poetry,ADD_SECONDARY,Poetry
9780857503770,No Middle Name - The Complete Collected Jack Reacher Stories,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781607107354,Persuasion,Fiction,Classics,FRH,Romance,ADD_SECONDARY,Romance
9781607109464,Emma,Fiction,Classics,FRH,Romance,ADD_SECONDARY,Romance
9781509532322,Literature - Why It Matters,Reference,General,DSB,Classics,RECLASSIFY,Classics
9780393356250,Odyssey,Fiction,Classics,DCF,Poetry,ADD_SECONDARY,Poetry
9781472223821,Hamnet,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9780349010168,"Woman Of No Importance - The Untold Story Of Virginia Hall, WWII's Most Dangerous Spy",History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9781784883508,Resident Dog - Volume 2 -  Incredible Dogs and the International Homes They Live In,The Arts,Art,AJ,Photography,ADD_SECONDARY,Photography
9780099515050,Silver Pigs - 1,Fiction,Historical Fiction,FFH,Crime Fiction,ADD_SECONDARY,Crime Fiction
9781405942676,Prodigal Son - 6 Orphan X,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781509853342,Me - Elton John Official Autobiography,The Arts,Music And Performing Arts,BGFA,Biography,ADD_SECONDARY,Biography
9781787131200,Wreaths -  Fresh Foraged And Dried Floral Arrangements,,,WFW,Craft,RECLASSIFY,Craft
