isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
MANAWA16,Manawatu Journal Of History - Issue 16 - 2020,History And Politics,NZ History,A,,SKIP,
9781787290358,My World,Sport,Cycling,BGSA,Biography,MISMATCH,
9780736086776,Mastering Cycling,Sport,Cycling,WSQ,,NO_BIC,
9781988516844,Big O - The Life and Times of Olsen Filipaina,Sport,Rugby,BGS,Biography,MISMATCH,
9781988547329,Heroics And Heartbreak - Twelve Months with the All Blacks,Sport,Rugby,WSJF1,,NO_BIC,
9781988547497,Brothers In Black - The Long History Of Brotherhood In New Zealand Rugby,Sport,Rugby,WSJF1,,NO_BIC,
9781472252470,Pride and Passion -  My Autobiography,Sport,Rugby,BGSA,Biography,MISMATCH,
9780374201234,Mamba Mentality - How I Play,Sport,General Sport And Fitness,WSJM,,NO_BIC,
MANAWAT5,Manawatu Journal Of History - Issue 5 - 2009,History And Politics,NZ History,,,SKIP,
9781399830379,Black Box Thinking - Growth Mindset And The Secrets Of High Performance,Sport,General Sport And Fitness,VSP,Psychology,MISMATCH,
9780007350544,Bounce - The Myth Of Talent And The Power Of Practice,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9780008308186,Endure - Mind Body And The Curiously Elastic Limits Of Human Performance,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9781911274575,In The Zone - How Champions Think and Win Big,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9781473613942,Rebel Ideas - The Power of Diverse Thinking,Sport,General Sport And Fitness,JM,,NO_BIC,
9781473653665,Greatest - What Sport Teaches Us About Achieving Success,Sport,General Sport And Fitness,WSDP,,NO_BIC,
MANAWAT3,Manawatu Journal Of History - Issue 3 - 2007,History And Politics,NZ History,,,SKIP,
MANAWAT9,Manawatu Journal Of History - Issue 9 - 2013,History And Politics,NZ History,A,,SKIP,
MANAWA13,Manawatu Journal Of History - Issue 13 - 2017,History And Politics,NZ History,A,,SKIP,
MANAWA12,Manawatu Journal Of History - Issue 12 - 2016,History And Politics,NZ History,A,,SKIP,
MANAWAT8,Manawatu Journal Of History - Issue 8 - 2012,History And Politics,NZ History,,,SKIP,
MANAWA10,Manawatu Journal Of History - Issue 10 - 2014,History And Politics,NZ History,A,,SKIP,
MANAWA15,Manawatu Journal Of History - Issue 15 - 2019,History And Politics,NZ History,A,,SKIP,
9780864739339,Anzac - Photographs By Laurence Aberhart,The Arts,Photography,,,NO_BIC,
9780864739339,Anzac - Photographs By Laurence Aberhart,The Arts,NZ Art,,,SKIP,
9780099481553,Birthday Stories,Fiction,General Fiction,,,NO_BIC,
9780099448761,Dance Dance Dance,Fiction,General Fiction,,,NO_BIC,
9780099448471,Sputnik Sweetheart,Fiction,General Fiction,,,NO_BIC,
9780099448785,Hard Boiled Wonderland and the End of the World,Fiction,General Fiction,,,NO_BIC,
9780099526155,What I Talk About When I Talk About Running,Fiction,General Fiction,,,NO_BIC,
9780099590378,Colorless Tsukuru And His Years Of Pilgrimage,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099578079,1Q84 - Complete Trilogy,Fiction,General Fiction,,,NO_BIC,
9781784872632,Desire - Vintage Mini,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099448754,Elephant Vanishes,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099458326,Kafka On The Shore,Fiction,General Fiction,FA,General Fiction,MATCH,
9781784707330,Killing Commendatore,Fiction,General Fiction,FA,General Fiction,MATCH,
9781784705374,Men Without Women - Stories,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099448822,Norwegian Wood,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099448570,South of the Border West of the Sun,Fiction,General Fiction,,,NO_BIC,
9781846559211,Strange Library,Fiction,General Fiction,,,NO_BIC,
9780099461098,Underground - The Tokyo Gas Attack And The Japanese Psyche,Fiction,General Fiction,,,NO_BIC,
9780099448778,Wild Sheep Chase,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099448792,Wind Up Bird Chronicle,Fiction,General Fiction,FA,General Fiction,MATCH,
9780099590392,Wind / Pinball,Fiction,General Fiction,,,NO_BIC,
9781784875411,Wind Up Bird Chronicle - Vintage Classics Japanese Series,Fiction,General Fiction,FA,General Fiction,MATCH,
9781780679037,Cat Bingo,Stationery Puzzles And Gifts,Games and Puzzles,WDMG,,SKIP,
9780473296872,Simon Shukers Code Cracker - Volume 11,Stationery Puzzles And Gifts,Games and Puzzles,,,SKIP,
9780473332846,Simon Shukers Code Cracker - Volume 12,Stationery Puzzles And Gifts,Games and Puzzles,A,,SKIP,
9780143566397,I Claudius - Popular Penguins,Fiction,Classics,FA,General Fiction,MISMATCH,
9780241458884,Fall,Fiction,Classics,FA,General Fiction,MISMATCH,
9780241458853,Outsider,Fiction,Classics,FC,Classics,MATCH,
9780241458877,Plague,Fiction,Classics,FC,Classics,MATCH,
9781645173625,Selected Works Of Edgar Allan Poe,Fiction,Classics,FC,Classics,MATCH,
9781529024050,Lark Rise To Candleford,Fiction,Classics,FC,Classics,MATCH,
9781529024012,Three Men In A Boat,Fiction,Classics,FC,Classics,MATCH,
9781784876050,Independence - Vintage Minis,Fiction,Classics,FC,Classics,MATCH,
9781838850791,Strange Case of Dr Jekyll And Mr Hyde - Shorter Scottish Fiction,Fiction,Classics,FC,Classics,MATCH,
9780241986608,Case Book Of Sherlock Holmes,Fiction,Classics,FFC,Crime Fiction,MISMATCH,
9781509852956,Communist Manifesto And Selected Writings - Macmillan Collectors Library,Fiction,Classics,JPFC,Politics,MISMATCH,
9781509843701,Prime Of Miss Jean Brodie - Macmillan Collectors Library,Fiction,Classics,FC,Classics,MATCH,
9781509842933,Three Musketeers - Macmillan Collectors Library,Fiction,Classics,FC,Classics,MATCH,
9781509827961,Scarlet Letter - Macmillan Collectors Library,Fiction,Classics,FC,Classics,MATCH,
9781509826780,Tiger in The Smoke - Macmillan Collectors Library,Fiction,Classics,FFC,Crime Fiction,MISMATCH,
9781509827695,On the Origin of Species - Macmillan Collectors Library,Fiction,Classics,PSAJ,General Science,MISMATCH,
