Recommended Genre,ISBN,Title,Current Category,Google Says
Biography,9781785788208,Between the Devil and the Deep Blue Sea,,Biography & Autobiography
Business,9781787391963,How to Go Plastic Free,,Business & Economics
Childrens Fiction,9781681371047,Charlotte Sometimes,,Juvenile Fiction
Childrens Non Fiction,9780141386898,Catwoman,,Juvenile Nonfiction
Food And Beverage,9781846014666,The 5:2 Cookbook,,Cooking
Food And Beverage,9781607747482,Amaro,,Cooking
History And Politics,9780994140739,Army Fundamentals,,Political Science
Poetry,9781846140334,Poems of John Milton,,Poetry
Poetry,9781788885140,The Poetry of Oscar Wilde,,Poetry
Sciences,9780141986067,The Future of Humanity,,Science
