isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9781787290358,My World,Sport,Cycling,BGSA,Biography,MISMATCH,
9781988516844,Big O - The Life and Times of Olsen Filipaina,Sport,Rugby,BGS,Biography,MISMATCH,
9781472252470,Pride and Passion -  My Autobiography,Sport,Rugby,BGSA,Biography,MISMATCH,
9781399830379,Black Box Thinking - Growth Mindset And The Secrets Of High Performance,Sport,General Sport And Fitness,VSP,Psychology,MISMATCH,
9780143566397,I Claudius - Popular Penguins,Fiction,Classics,FA,General Fiction,MISMATCH,
9780241458884,Fall,Fiction,Classics,FA,General Fiction,MISMATCH,
9780241986608,Case Book Of Sherlock Holmes,Fiction,Classics,FFC,Crime Fiction,MISMATCH,
9781509852956,Communist Manifesto And Selected Writings - Macmillan Collectors Library,Fiction,Classics,JPFC,Politics,MISMATCH,
9781509826780,Tiger in The Smoke - Macmillan Collectors Library,Fiction,Classics,FFC,Crime Fiction,MISMATCH,
9781509827695,On the Origin of Species - Macmillan Collectors Library,Fiction,Classics,PSAJ,General Science,MISMATCH,
9780099572961,Little Women,Fiction,Classics,YFA,Childrens Fiction,MISMATCH,
9780241472408,Anarchist Communism,Fiction,Classics,JPFB,Politics,MISMATCH,
9780939680634,Secrets Of Mayan Science Religion,Well Being,New Age,JFHF,Sociology,MISMATCH,
9781590308820,Taoism - An Essential Guide,Well Being,New Age,HRKN5,Religion,MISMATCH,
9781784161859,Short History Of Nearly Everything,History And Politics,History,PDZ,General Science,MISMATCH,
9781780191386,Art And Architecture Of The Incas,The Arts,Architecture,HBJK,History,MISMATCH,
9781509852697,Yorkshire Shepherdess - 3 Adventures Of The Yorkshire Shepherdess,Travel,Travel Literature,BM,Biography,MISMATCH,
9780789496904,Fertility And Conception - A Complete Guide To Getting Pregnant,Well Being,Family,VFJ,Psychology,MISMATCH,
9781529112214,Magdalena - River Of Dreams A Story Of Colombia,Travel,Travel Literature,WTL,Travel Guides,MISMATCH,
9780007216857,Year of Magical Thinking,Well Being,Psychology,BGA,Biography,MISMATCH,
9781785043352,Untamed - Stop Pleasing Start Living,Well Being,Psychology,BM,Biography,MISMATCH,
9781788166515,Dictionary Of Omens And Superstitions,Well Being,New Age,JFHF,Sociology,MISMATCH,
9781760526139,Dog,Fiction,Graphic Novels,YBC,Childrens Picture Books,MISMATCH,
9781988547602,Im In A United State,Travel,Travel Literature,BM,Biography,MISMATCH,
9781788167451,Essex Girls - For Profane And Opinionated Women Everywhere,Biographies,Essays,BM,Biography,MISMATCH,
9780711245082,Great Pilgrimage Sites Of Europe,Travel,Travel Literature,HRC,Religion,MISMATCH,
9780241464625,Unquiet,Biographies,Biography,FA,General Fiction,MISMATCH,
9780241440766,Call Of The Wild - Green Puffin Classics,Fiction,Classics,YFP,Childrens Fiction,MISMATCH,
9780241440735,Wind in the Willows - Green Puffin Classics,Fiction,Classics,YFA,Childrens Fiction,MISMATCH,
9780241440759,Jungle Book - Green Puffin Classics,Fiction,Classics,YFA,Childrens Fiction,MISMATCH,
9781250193537,Displacement,Fiction,Graphic Novels,YFW,Childrens Fiction,MISMATCH,
9780571340224,Days Without End - 1 Days Without End,Fiction,Historical Fiction,FA,General Fiction,MISMATCH,
9781784751371,Outlander - 1 Outlander,Fiction,Historical Fiction,FA,General Fiction,MISMATCH,
9781760760755,Art Of Cake - The Creme de la Creme of the World's Favourite Desserts,Well Being,Food And Beverage,JFCV,Sociology,MISMATCH,
9780008244453,Wolf Within - The Astonishing Evolution Of Mans Best Friend,Sciences,Environment,PDZ,General Science,MISMATCH,
9781787835658,Conspiracy Theories - A Compendium of History's Greatest Mysteries and More Recent Cover-Ups,History And Politics,History,JFHC,Sociology,MISMATCH,
9781472272324,Subterranea - Discovering The Earths Extraordinary Hidden Depths,Sciences,General Science,WTR,Travel Literature,MISMATCH,
9781914240348,Women Dont Owe You Pretty - The Small Edition,Well Being,Gender,BM,Biography,MISMATCH,
9781398504653,Men Who Hate Women - From Incels To Pickup Artists The Truth About Extreme Misogyny And How It Affects Us All,Well Being,Gender,JFFK,Sociology,MISMATCH,
9781779504210,Superman Smashes the Klan,Fiction,Graphic Novels,YF,Childrens Fiction,MISMATCH,
9781909889347,Granta 152 -  Still Life,Biographies,Essays,DQ,General Fiction,MISMATCH,
9781783783007,Summer Isles -  A Voyage of the Imagination,Travel,Travel Literature,WTL,Travel Guides,MISMATCH,
9781785786266,Chip Shop in Poznan -  My Unlikely Year in Poland,Travel,Travel Literature,WTL,Travel Guides,MISMATCH,
9781784424206,Veteran Motor Cars,,Motoring and Transport,WGCB,Gardening,MISMATCH,
