isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9780736086776,Mastering Cycling,Sport,Cycling,WSQ,,NO_BIC,
9781988547329,Heroics And Heartbreak - Twelve Months with the All Blacks,Sport,Rugby,WSJF1,,NO_BIC,
9781988547497,Brothers In Black - The Long History Of Brotherhood In New Zealand Rugby,Sport,Rugby,WSJF1,,NO_BIC,
9780374201234,Mamba Mentality - How I Play,Sport,General Sport And Fitness,WSJM,,NO_BIC,
9780007350544,Bounce - The Myth Of Talent And The Power Of Practice,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9780008308186,Endure - Mind Body And The Curiously Elastic Limits Of Human Performance,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9781911274575,In The Zone - How Champions Think and Win Big,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9781473613942,Rebel Ideas - The Power of Diverse Thinking,Sport,General Sport And Fitness,JM,,NO_BIC,
9781473653665,Greatest - What Sport Teaches Us About Achieving Success,Sport,General Sport And Fitness,WSDP,,NO_BIC,
9780864739339,Anzac - Photographs By Laurence Aberhart,The Arts,Photography,,,NO_BIC,
9780099481553,Birthday Stories,Fiction,General Fiction,,,NO_BIC,
9780099448761,Dance Dance Dance,Fiction,General Fiction,,,NO_BIC,
9780099448471,Sputnik Sweetheart,Fiction,General Fiction,,,NO_BIC,
9780099448785,Hard Boiled Wonderland and the End of the World,Fiction,General Fiction,,,NO_BIC,
9780099526155,What I Talk About When I Talk About Running,Fiction,General Fiction,,,NO_BIC,
9780099578079,1Q84 - Complete Trilogy,Fiction,General Fiction,,,NO_BIC,
9780099448570,South of the Border West of the Sun,Fiction,General Fiction,,,NO_BIC,
9781846559211,Strange Library,Fiction,General Fiction,,,NO_BIC,
9780099461098,Underground - The Tokyo Gas Attack And The Japanese Psyche,Fiction,General Fiction,,,NO_BIC,
9780099590392,Wind / Pinball,Fiction,General Fiction,,,NO_BIC,
9781877517648,Craig Potton - The Landscape Of Aotearoa New Zealand - Standard Edition,The Arts,Photography,,,NO_BIC,
9780099510666,Feather Thief - Beauty Obsession And The Natural History Heist Of The Century,History And Politics,True Crime,BTC,,NO_BIC,
9781846344978,Calm - Page A Day Calendar,Well Being,New Age,,,NO_BIC,
9781925924602,Dream Reading Cards -  Awaken your intuitive subconscious,Well Being,New Age,VXN,,NO_BIC,
9781877168697,Growing Vegetables Year Round,,,,,NO_BIC,
9781760642532,Language Of Butterflies,Sciences,Environment,WN,,NO_BIC,
9781401960193,Finding Love Everywhere -  67 1/2 Wisdom Poems and Meditations to Help You Be the Love You Are Looking For,Well Being,New Age,VXA,,NO_BIC,
